MMS ID,Title,Representation ID,TIFF Filename,S3 Path,File Size (MB),Recommended Action,Status
991011688277504641,"""The Iowa Capitol Building, ""Westward"" mural, Historical Building, Soldiers' and Sailors' Monument, Des Moines, Iowa""",12343288160004641,lib_ms80_ffc_desacap0011.tif,01GCL_INST/storage/alma/DA/5B/0F/39/DD/67/3B/CB/AF/64/B1/02/17/B9/94/FC/lib_ms80_ffc_desacap0011.tif,39.25,Create JPG derivative and set as primary,Manual JPG creation needed
991011688277704641,"""Interior of Iowa State Capitol, Des Moines, Iowa""",12343288180004641,lib_ms80_ffc_desacap0001_1.tif,01GCL_INST/storage/alma/86/1F/02/97/0F/CB/D0/96/9C/C0/20/1C/14/B4/1E/CF/lib_ms80_ffc_desacap0001_1.tif,40.16,Create JPG derivative and set as primary,Manual JPG creation needed
991011688277904641,"""Soldiers and Sailors Monument, Des Moines, Iowa""",12343288200004641,lib_ms80_ffc_desacap0009.tif,01GCL_INST/storage/alma/92/AF/E3/B3/0C/DC/EE/8D/C3/59/85/69/48/0F/F9/FC/lib_ms80_ffc_desacap0009.tif,38.72,Create JPG derivative and set as primary,Manual JPG creation needed
991011688278104641,"""Aerial view of Capitol, Des Moines, Iowa""",12343288220004641,lib_ms80_ffc_desacap0008.tif,01GCL_INST/storage/alma/14/22/D8/CB/FC/E2/B3/12/51/D7/FE/6B/58/14/A9/0F/lib_ms80_ffc_desacap0008.tif,39.17,Create JPG derivative and set as primary,Manual JPG creation needed
991011688278304641,"""Governor William S. Beardsley, the Iowa Capitol Building, state motto: Our Liberties We Prize and Our Rights We Will Maintain, Des Moines, Iowa""",12343288240004641,lib_ms80_ffc_desacap0007.tif,01GCL_INST/storage/alma/89/B0/A7/A8/E5/3E/8A/CD/C0/F9/8C/B6/B9/F5/18/18/lib_ms80_ffc_desacap0007.tif,39.17,Create JPG derivative and set as primary,Manual JPG creation needed
991011688278504641,"""The golden dome, Iowa State Capitol building, Des Moines, Iowa""",12343288260004641,lib_ms80_ffc_desacap0006.tif,01GCL_INST/storage/alma/C6/58/43/9F/41/26/6F/9A/79/F6/23/86/86/4E/A3/05/lib_ms80_ffc_desacap0006.tif,47.63,Create JPG derivative and set as primary,Manual JPG creation needed
991011688278704641,"""Iowa State Capitol building and Soldiers' and Sailors' Monument, Des Moines, Iowa""",12343288280004641,lib_ms80_ffc_desacap0005.tif,01GCL_INST/storage/alma/ED/5B/AF/87/20/0D/51/09/EE/4E/77/B5/35/3F/3F/17/lib_ms80_ffc_desacap0005.tif,49.34,Create JPG derivative and set as primary,Manual JPG creation needed
991011688278904641,"""Skyline above the Des Moines River, Des Moines, Iowa""",12343288300004641,lib_ms80_ffc_desacap0004.tif,01GCL_INST/storage/alma/2B/FD/50/6E/D9/07/F5/41/9E/09/4E/98/BE/0D/E5/4E/lib_ms80_ffc_desacap0004.tif,47.63,Create JPG derivative and set as primary,Manual JPG creation needed
991011688279104641,"""Governor Leo A. Hoegh, the Iowa Capitol Building, state motto: Our Liberties We Prize and Our Rights We Will Maintain, Des Moines, Iowa""",12343288320004641,lib_ms80_ffc_desacap0003.tif,01GCL_INST/storage/alma/B0/32/18/48/30/3D/F8/89/67/3E/25/AA/E4/3F/73/B4/lib_ms80_ffc_desacap0003.tif,39.25,Create JPG derivative and set as primary,Manual JPG creation needed
991011688279304641,"""State capitol and grounds, Des Moines, Iowa""",12343288340004641,lib_ms80_ffc_desacap0002.tif,01GCL_INST/storage/alma/D5/C8/50/F3/4A/F4/B0/15/F4/79/05/91/44/A2/D9/BA/lib_ms80_ffc_desacap0002.tif,39.37,Create JPG derivative and set as primary,Manual JPG creation needed
991011688279504641,"""Bird's-eye view from state capitol looking west, Des Moines, Iowa""",12343288360004641,lib_ms80_ffc_desacap0001.tif,01GCL_INST/storage/alma/9E/49/CC/0B/9F/57/34/ED/06/AB/C1/28/06/F1/0E/10/lib_ms80_ffc_desacap0001.tif,40.16,Create JPG derivative and set as primary,Manual JPG creation needed
991011688279704641,"""Rustic bridge at U.S. government hospital, Des Moines, Iowa""",12343288380004641,lib_ms80_ffc_desahosp0013.tif,01GCL_INST/storage/alma/DD/2F/CA/E6/B0/9C/C6/AE/C2/8C/49/26/5C/DC/26/7B/lib_ms80_ffc_desahosp0013.tif,38.82,Create JPG derivative and set as primary,Manual JPG creation needed
991011691987504641,"""Company C Commissioning Ceremony 2""",12343766380004641,phpp_StewartMike013.tif,01GCL_INST/storage/alma/86/6F/7D/20/BE/57/C8/C9/66/9B/BC/54/55/2E/30/73/phpp_StewartMike013.tif,12.56,Create JPG derivative and set as primary,Manual JPG creation needed
991011691987604641,"""Company C Commissioning Ceremony""",12343766400004641,phpp_StewartMike012.tif,01GCL_INST/storage/alma/25/F6/44/25/4B/47/B6/A7/4E/38/73/3C/66/B7/CF/A5/phpp_StewartMike012.tif,13.09,Create JPG derivative and set as primary,Manual JPG creation needed
991011691987704641,"""Company C Parade on Broad Street""",12343766420004641,phpp_StewartMike011.tif,01GCL_INST/storage/alma/6B/04/4F/AD/31/FB/14/51/A0/AC/FF/68/34/CF/3D/D3/phpp_StewartMike011.tif,12.62,Create JPG derivative and set as primary,Manual JPG creation needed
991011691987804641,"""Company C Parade on Third Avenue""",12343766440004641,phpp_StewartMike001_1.tif,01GCL_INST/storage/alma/54/9B/51/51/5A/18/6F/F4/A2/A0/06/94/41/6D/17/43/phpp_StewartMike001_1.tif,12.65,Create JPG derivative and set as primary,Manual JPG creation needed
991011691987904641,"""Grinnell High School Band Leads Company C Parade""",12343766460004641,phpp_StewartMike009.tif,01GCL_INST/storage/alma/04/60/02/C7/D7/A5/2D/E6/67/EC/2C/06/BC/AE/67/11/phpp_StewartMike009.tif,12.69,Create JPG derivative and set as primary,Manual JPG creation needed
991011691988004641,"""Company C  Parade""",12343766480004641,phpp_StewartMike008.tif,01GCL_INST/storage/alma/2D/9D/17/71/B5/A9/B5/E7/99/E8/C9/62/58/E3/26/27/phpp_StewartMike008.tif,12.7,Create JPG derivative and set as primary,Manual JPG creation needed
991011691988104641,"""Company A Graduates""",12343766500004641,phpp_StewartMike007.tif,01GCL_INST/storage/alma/5A/30/6B/8E/EA/88/F2/1A/E6/D3/F1/9F/DA/85/9F/EC/phpp_StewartMike007.tif,12.56,Create JPG derivative and set as primary,Manual JPG creation needed
991011691988204641,"""Company C Passes Reviewing Stand""",12343766520004641,phpp_StewartMike006.tif,01GCL_INST/storage/alma/3C/00/D3/30/15/C3/13/DF/E0/84/05/07/C6/65/09/BA/phpp_StewartMike006.tif,12.66,Create JPG derivative and set as primary,Manual JPG creation needed
991011691988604641,"""Capt. Merryman""",12343766540004641,phpp_StewartMike002.tif,01GCL_INST/storage/alma/AB/9E/01/80/79/C6/79/E5/F5/2C/A6/5F/89/68/B2/AA/phpp_StewartMike002.tif,12.73,Create JPG derivative and set as primary,Manual JPG creation needed
991011691988304641,"""Company C Parade Rest""",12343766560004641,phpp_StewartMike005.tif,01GCL_INST/storage/alma/BA/C2/E1/B3/67/7D/85/D5/3A/8E/BA/05/1C/FC/C6/41/phpp_StewartMike005.tif,12.76,Create JPG derivative and set as primary,Manual JPG creation needed
991011691988404641,"""Company C at Ease""",12343766580004641,phpp_StewartMike004.tif,01GCL_INST/storage/alma/33/8B/99/09/BA/75/AC/C3/24/5C/F1/59/B7/2E/6D/80/phpp_StewartMike004.tif,12.77,Create JPG derivative and set as primary,Manual JPG creation needed
991011691988504641,"""Company C Stands at Attention""",12343766600004641,phpp_StewartMike003.tif,01GCL_INST/storage/alma/C7/DF/53/26/37/62/8E/95/44/B7/20/00/20/F8/6B/C7/phpp_StewartMike003.tif,12.72,Create JPG derivative and set as primary,Manual JPG creation needed
991011691988704641,"""Capt. Merryman and Lt. Grossman""",12343766620004641,phpp_StewartMike001.tif,01GCL_INST/storage/alma/0C/ED/D4/74/13/6E/E2/A9/F4/84/B6/F3/BB/70/E9/D1/phpp_StewartMike001.tif,12.65,Create JPG derivative and set as primary,Manual JPG creation needed
991011691988804641,"""Best Western Motel Grinnell""",12343766640004641,dcl_coll17_BestWestern.tif,01GCL_INST/storage/alma/DB/79/D2/B1/80/84/E0/76/C8/0C/AC/AE/C1/F7/17/6B/dcl_coll17_BestWestern.tif,0.55,Create JPG derivative and set as primary,Manual JPG creation needed
991011691988904641,"""Cooper School 1974""",12343766660004641,dcl_Cooper_School_1974.tif,01GCL_INST/storage/alma/5B/DA/F4/1F/12/02/E0/54/64/78/2C/F9/9C/05/A9/2E/dcl_Cooper_School_1974.tif,11.32,Create JPG derivative and set as primary,Manual JPG creation needed
991011691989204641,"""Rohr Family Homestead""",12343766700004641,phpp_RohrGene002.tif,01GCL_INST/storage/alma/EF/2D/71/B9/A5/01/CC/EF/07/FF/7C/E1/30/BF/AC/ED/phpp_RohrGene002.tif,4.83,Create JPG derivative and set as primary,Manual JPG creation needed
991011691989304641,"""Rohr Family""",12343766720004641,phpp_RohrGene001.tif,01GCL_INST/storage/alma/07/DD/10/F7/1F/3F/5A/CD/EB/EE/22/AB/E8/2D/60/CB/phpp_RohrGene001.tif,9.45,Create JPG derivative and set as primary,Manual JPG creation needed
991011691989704641,"""Students at Grant School #2""",12343766800004641,phpp_MillsSally001.tif,01GCL_INST/storage/alma/39/0D/BF/21/6C/C9/A0/DC/10/0D/F7/64/B7/60/46/2D/phpp_MillsSally001.tif,12.09,Create JPG derivative and set as primary,Manual JPG creation needed
991011691991904641,"""Rexall Drug One Cent Sale""",12343767200004641,phpp_MathewsJack_010.tif,01GCL_INST/storage/alma/E6/6E/DD/3E/F9/D1/B4/9F/AB/34/B5/97/B8/56/B4/F8/phpp_MathewsJack_010.tif,16.69,Create JPG derivative and set as primary,Manual JPG creation needed
991011691992104641,"""MI31 Solution Sale""",12343767240004641,phpp_MathewsJack_008.tif,01GCL_INST/storage/alma/86/6C/0C/3F/43/52/A2/5F/80/54/43/82/B9/6D/DF/A5/phpp_MathewsJack_008.tif,92.27,Create JPG derivative and set as primary,Manual JPG creation needed
991011691992204641,"""Interior of Mathews Rexall Drugs in the 1920s""",12343767260004641,phpp_MathewsJack_005.tif,01GCL_INST/storage/alma/CC/BE/40/F8/95/05/86/44/8C/87/7F/D6/F6/CB/3B/90/phpp_MathewsJack_005.tif,16.12,Create JPG derivative and set as primary,Manual JPG creation needed
991011691992304641,"""Earl Mathews and Roy Bates""",12343767280004641,phpp_MathewsJack_004.tif,01GCL_INST/storage/alma/83/9D/78/B8/DE/FF/0D/3F/81/DD/BC/88/80/B8/B7/6E/phpp_MathewsJack_004.tif,11.9,Create JPG derivative and set as primary,Manual JPG creation needed
991011691993704641,"""I-80 Construction""",12343768540004641,phpp_BrookChuck028.tif,01GCL_INST/storage/alma/A1/F3/12/39/14/C6/FF/57/24/B0/77/73/08/D5/2E/1A/phpp_BrookChuck028.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691993804641,"""Corn Harvest""",12343768560004641,phpp_BrookChuck027B.tif,01GCL_INST/storage/alma/59/B1/F9/34/BC/BE/76/38/A0/5A/A3/F6/B4/0E/8D/1C/phpp_BrookChuck027B.tif,38.51,Create JPG derivative and set as primary,Manual JPG creation needed
991011691993904641,"""I-80 Construction""",12343768580004641,phpp_BrookChuck027.tif,01GCL_INST/storage/alma/06/B0/DD/45/A7/92/76/D3/0F/F7/0E/9A/32/61/96/F3/phpp_BrookChuck027.tif,38.51,Create JPG derivative and set as primary,Manual JPG creation needed
991011691994004641,"""I-80 Construction""",12343768600004641,phpp_BrookChuck026.tif,01GCL_INST/storage/alma/9C/3E/ED/0B/3B/45/4C/AC/AF/29/EC/3E/91/97/72/5E/phpp_BrookChuck026.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691997604641,"""Guys and Dolls 2""",12343768620004641,phpp_BendaJim019.tif,01GCL_INST/storage/alma/CE/B9/39/03/02/F5/5F/0A/82/01/62/C1/D6/B7/15/16/phpp_BendaJim019.tif,17.43,Create JPG derivative and set as primary,Manual JPG creation needed
991011691997704641,"""Guys and Dolls 1""",12343768640004641,phpp_BendaJim018.tif,01GCL_INST/storage/alma/89/80/03/8B/4D/9A/2B/1B/0E/63/FA/15/88/6B/58/AD/phpp_BendaJim018.tif,17.59,Create JPG derivative and set as primary,Manual JPG creation needed
991011691994104641,"""I-80 Construction""",12343768660004641,phpp_BrookChuck025.tif,01GCL_INST/storage/alma/15/0D/3E/01/C2/A3/CF/0E/7B/96/E0/DD/74/49/49/19/phpp_BrookChuck025.tif,38.51,Create JPG derivative and set as primary,Manual JPG creation needed
991011691994204641,"""I-80 Construction""",12343768680004641,phpp_BrookChuck024.tif,01GCL_INST/storage/alma/56/9F/77/6F/48/A1/F5/BC/25/4E/E2/82/D6/0D/F8/57/phpp_BrookChuck024.tif,38.51,Create JPG derivative and set as primary,Manual JPG creation needed
991011691994304641,"""I-80 Construction""",12343768700004641,phpp_BrookChuck023.tif,01GCL_INST/storage/alma/70/9F/66/91/72/19/D2/1B/F6/3A/C4/AD/1F/F2/99/DD/phpp_BrookChuck023.tif,38.51,Create JPG derivative and set as primary,Manual JPG creation needed
991011691994404641,"""I-80 Construction""",12343768720004641,phpp_BrookChuck022.tif,01GCL_INST/storage/alma/DF/97/B0/CE/FF/8F/CA/63/EE/D7/AF/E1/23/DC/3B/0A/phpp_BrookChuck022.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691994504641,"""I-80 Construction""",12343768740004641,phpp_BrookChuck012_1.tif,01GCL_INST/storage/alma/76/46/86/93/A2/27/81/49/8B/71/5D/35/23/8C/AA/69/phpp_BrookChuck012_1.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691994604641,"""I-80 Construction""",12343768760004641,phpp_BrookChuck002_1.tif,01GCL_INST/storage/alma/99/C4/59/15/3B/C0/EE/F2/48/28/AF/B4/60/DA/AA/F9/phpp_BrookChuck002_1.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691994704641,"""I-80 Construction""",12343768780004641,phpp_BrookChuck019.tif,01GCL_INST/storage/alma/59/D5/A4/93/C6/FF/70/A7/A0/D3/61/25/52/6A/A7/C0/phpp_BrookChuck019.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691994804641,"""I-80 Construction""",12343768800004641,phpp_BrookChuck018.tif,01GCL_INST/storage/alma/74/82/DE/69/D3/B7/FC/8A/9D/D5/C3/96/0A/48/85/0C/phpp_BrookChuck018.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691994904641,"""I-80 Construction""",12343768820004641,phpp_BrookChuck017.tif,01GCL_INST/storage/alma/A8/C5/2A/8D/97/F5/57/3B/1A/78/E0/5D/64/50/F0/55/phpp_BrookChuck017.tif,38.51,Create JPG derivative and set as primary,Manual JPG creation needed
991011691995004641,"""I-80 Construction""",12343768840004641,phpp_BrookChuck015.tif,01GCL_INST/storage/alma/29/36/2C/72/FB/E4/38/B2/BA/5C/A6/0E/5B/12/27/D7/phpp_BrookChuck015.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691995104641,"""I-80 Construction""",12343768860004641,phpp_BrookChuck014.tif,01GCL_INST/storage/alma/0E/73/B9/EF/54/68/65/06/02/A3/75/20/80/EA/DE/E6/phpp_BrookChuck014.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691995204641,"""I-80 Construction""",12343768880004641,phpp_BrookChuck013.tif,01GCL_INST/storage/alma/1E/08/44/B8/6D/B9/36/66/4E/B0/7D/D1/08/D2/77/01/phpp_BrookChuck013.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691995304641,"""I-80 Construction""",12343768900004641,phpp_BrookChuck012.tif,01GCL_INST/storage/alma/F8/34/35/FE/F4/38/5B/6D/F2/F8/75/F1/FC/D3/85/B0/phpp_BrookChuck012.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691995404641,"""I-80 Construction""",12343768920004641,phpp_BrookChuck011.tif,01GCL_INST/storage/alma/4F/52/0C/16/63/68/E6/A6/43/CB/E0/D1/88/EC/4A/34/phpp_BrookChuck011.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691995504641,"""I-80 Construction""",12343768940004641,phpp_BrookChuck009.tif,01GCL_INST/storage/alma/1D/65/7D/09/04/19/0B/AF/86/40/A3/DF/EC/13/FE/16/phpp_BrookChuck009.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691995604641,"""I-80 Construction""",12343768960004641,phpp_BrookChuck008.tif,01GCL_INST/storage/alma/A4/84/B1/0D/0E/ED/25/C3/11/AB/10/65/5F/0E/84/F9/phpp_BrookChuck008.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691995704641,"""I-80 Construction""",12343768980004641,phpp_BrookChuck006.tif,01GCL_INST/storage/alma/29/72/B5/1E/07/CD/EA/1E/20/83/D3/EB/3B/9F/C3/CA/phpp_BrookChuck006.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691995804641,"""I-80 Construction""",12343769000004641,phpp_BrookChuck005.tif,01GCL_INST/storage/alma/F4/24/35/7A/61/97/91/25/0C/2C/91/FF/E5/B2/DD/A3/phpp_BrookChuck005.tif,38.51,Create JPG derivative and set as primary,Manual JPG creation needed
991011691995904641,"""I-80 Construction""",12343769020004641,phpp_BrookChuck004.tif,01GCL_INST/storage/alma/E4/31/29/22/3A/CE/CD/AA/88/48/C2/40/38/33/6E/8E/phpp_BrookChuck004.tif,38.51,Create JPG derivative and set as primary,Manual JPG creation needed
991011691996004641,"""I-80 Construction""",12343769040004641,phpp_BrookChuck003.tif,01GCL_INST/storage/alma/47/7D/39/05/F9/D8/35/A2/C0/15/FD/AD/82/22/D5/86/phpp_BrookChuck003.tif,42.19,Create JPG derivative and set as primary,Manual JPG creation needed
991011691996104641,"""I-80 Construction""",12343769060004641,phpp_BrookChuck002.tif,01GCL_INST/storage/alma/EF/BC/74/88/7F/7D/48/1E/9E/57/80/99/26/73/AE/97/phpp_BrookChuck002.tif,38.49,Create JPG derivative and set as primary,Manual JPG creation needed
991011691996304641,"""Sam Berman and Sons""",12343769100004641,phpp_Berman001.tif,01GCL_INST/storage/alma/C0/5C/36/FF/49/CE/26/26/FC/41/7C/B4/5E/A1/DE/BE/phpp_Berman001.tif,74.04,Create JPG derivative and set as primary,Manual JPG creation needed
991011691996404641,"""North Side of Main Street, Hartwick, Iowa""",12343769120004641,phpp_BendaJim031.tif,01GCL_INST/storage/alma/58/48/58/1A/C2/BB/5D/4D/7B/0C/31/31/AB/05/1F/63/phpp_BendaJim031.tif,34.16,Create JPG derivative and set as primary,Manual JPG creation needed
991011691996504641,"""Guys and Dolls 13""",12343769140004641,phpp_BendaJim030.tif,01GCL_INST/storage/alma/31/A6/C8/B6/C8/9C/7D/AE/39/91/A7/DF/38/23/44/0F/phpp_BendaJim030.tif,17.45,Create JPG derivative and set as primary,Manual JPG creation needed
991011691996604641,"""Guys and Dolls 12""",12343769160004641,phpp_BendaJim029.tif,01GCL_INST/storage/alma/B3/BB/35/43/9A/59/B6/6A/20/5E/FB/99/CA/81/2C/A0/phpp_BendaJim029.tif,17.45,Create JPG derivative and set as primary,Manual JPG creation needed
991011691996704641,"""Guys and Dolls 11""",12343769180004641,phpp_BendaJim028.tif,01GCL_INST/storage/alma/A9/66/57/FB/BB/B6/D7/8C/FE/8C/98/7C/61/20/F4/01/phpp_BendaJim028.tif,17.5,Create JPG derivative and set as primary,Manual JPG creation needed
991011691996804641,"""Guys and Dolls 10""",12343769200004641,phpp_BendaJim027.tif,01GCL_INST/storage/alma/55/52/4F/C8/29/8C/5D/73/90/69/7B/99/31/12/7C/1F/phpp_BendaJim027.tif,17.39,Create JPG derivative and set as primary,Manual JPG creation needed
991011691996904641,"""Guys and Dolls 9""",12343769220004641,phpp_BendaJim026.tif,01GCL_INST/storage/alma/73/76/E1/9C/31/B1/1F/30/00/F1/93/6C/0D/D7/25/1E/phpp_BendaJim026.tif,18.34,Create JPG derivative and set as primary,Manual JPG creation needed
991011691997004641,"""Guys and Dolls 8""",12343769240004641,phpp_BendaJim025.tif,01GCL_INST/storage/alma/33/2B/23/8C/57/D6/65/35/7A/95/48/5D/EE/B5/A0/7B/phpp_BendaJim025.tif,18.4,Create JPG derivative and set as primary,Manual JPG creation needed
991011691997104641,"""Guys and Dolls 7""",12343769260004641,phpp_BendaJim024.tif,01GCL_INST/storage/alma/65/C4/CD/C7/BC/26/91/C5/AE/C8/AB/D1/E1/F4/40/5D/phpp_BendaJim024.tif,17.48,Create JPG derivative and set as primary,Manual JPG creation needed
991011691997204641,"""Guys and Dolls 6""",12343769280004641,phpp_BendaJim023.tif,01GCL_INST/storage/alma/D8/37/DA/F4/EF/F2/8A/2F/EB/3A/7F/FA/0E/3B/B0/74/phpp_BendaJim023.tif,18.31,Create JPG derivative and set as primary,Manual JPG creation needed
991011691997304641,"""Guys and Dolls 5""",12343769300004641,phpp_BendaJim022.tif,01GCL_INST/storage/alma/FB/CF/14/3A/BB/E0/03/9F/13/DB/54/81/7D/C2/D1/79/phpp_BendaJim022.tif,17.37,Create JPG derivative and set as primary,Manual JPG creation needed
991011691997404641,"""Guys and Dolls 4""",12343769320004641,phpp_BendaJim021.tif,01GCL_INST/storage/alma/BC/0B/9D/F0/E5/12/F7/30/FD/0A/EF/53/BF/C9/15/D4/phpp_BendaJim021.tif,17.41,Create JPG derivative and set as primary,Manual JPG creation needed
991011691997504641,"""Guys and Dolls 3""",12343769340004641,phpp_BendaJim020.tif,01GCL_INST/storage/alma/16/07/2C/45/D4/8D/96/D6/66/29/62/15/DF/A0/6D/F7/phpp_BendaJim020.tif,17.37,Create JPG derivative and set as primary,Manual JPG creation needed
991011691992704641,"""Company C Commissioning Ceremony 3""",12343779200004641,phpp_StewartMike014.tif,01GCL_INST/storage/alma/0C/40/7D/1E/32/50/73/B2/E4/33/4A/C6/F3/DB/0C/42/phpp_StewartMike014.tif,12.71,Create JPG derivative and set as primary,Manual JPG creation needed
991011692194404641,"""Cecile Schwab's Plate Wall""",12343779770004641,phpp_Kozloff_Schwab_plate_collection.tiff,01GCL_INST/storage/alma/2B/89/4A/97/A5/92/43/32/0D/E8/E0/19/08/36/16/78/phpp_Kozloff_Schwab_plate_collection.tiff,78.91,Create JPG derivative and set as primary,Manual JPG creation needed
991011692195204641,"""Joe Schwab""",12343780130004641,phpp_Kozloff_Mr_Schwab.tiff,01GCL_INST/storage/alma/D4/89/35/6F/86/39/A0/C3/33/03/CE/58/C6/E5/2F/85/phpp_Kozloff_Mr_Schwab.tiff,79.07,Create JPG derivative and set as primary,Manual JPG creation needed
